messages,Training_Testing
Not.,0
"Aww, well we haven't left either",0
9:30ish,0
Call patricia 7735551212,0
"Cool. So, when are you coming in and how long are you staying? Would live to catch up a little and see for.myself that you are really doing GREAT!",0
Take care of yourself~we can do it another time.,0
But maybe was earlier,0
Think u could take a look at my comp tonight so that i could play the lessons on it?,0
"black tar, good stuff, the usual cost and amt",0
"I did not even think that. Never entered my mind. Don't think i know Bob, do I?",0
Outgoing,0
blow ,0
"Sorry for not responding, got sidetracked",0
Item # k-12345 quantity 1 ship to cindy smith to august,0
Incoming,0
*at,0
"The kids want to spend the night and i said yes, but told them it was up to you.",0
"Hey cindy, am I supposed to be at this spring convocation right now. He sent it to tech support and it says mandatory...",0
"Ok, we are almost there",0
They were not while with me.,0
Outgoing,0
"At emergency room with Tom, lung is collapsing",0
Incoming,0
Yes,0
That's okay we can try again later ,0
Lol k no prob,0
Yeah well see luv,0
Yeah we do,0
Me too.,0
i'll be back in a few,0
Hey sir are u sticking around my house after the bike ride for some dinner?,0
Hmm guess u may have to recreate it then,0
Thank you.,0
I have copys of phone on computor need y fixed,0
I'm open now. Eat food now.,0
"No, i do not recall you mentioning anything about this.",0
Ok I will come then,0
"At Smiths, funeral services will be Wednesday at 10 am.",0
Where you at?? We saw yer car in the parking garage,0
We don't know them personally,0
Ok I'm heading back now,0
We are at 64,0
"I forgot to tell you, read the Minds paper prof smith posted. A question will be on the test relating to this article.",0
I hope to see him tomorrow since I have to take mom to the eye doctor.,0
Outgoing,0
What's the plan for this weekend?,0
(RE:)U already know girl ,0
I am pretending to be strong. Getting my cap and gown.,0
K,0
I sent you a preliminary image of the network layout with just a few missing pieces. I will show you tommorow.,0
There were so many lesions and pockets that was contributing to his copd that it was difficult to get to the sections that needed to be biopsied. The doctor said he removed only what he had to. They were only going for the upper 1/3 of the right lung.,0
Love u girlie,0
nd it worked out well.,0
What is the status of mom? Please tell me she is stable and resting comfortable.,0
Friend just left ,0
Lol no biggie.,0
I passed the course today.,0
Hope you enjoyed John's the kids were disappointed not to say goodbye.,0
Taking my little bro to the zoo and to see the city,0
Hey we just arranged to buy 26 grams of crack from lisa FYI,0
Whoops. Ill grab it tomorrow,0
On my way.,0
We are here were u at,0
"Oh yeah, michelle is doing a little better. She is still achy and has a sore throat, better her fever is gone for now. Thanks for asking.",0
Tomorrow is fine.,0
Sure,0
Yeah! Fo like 2 wks now,0
Yes get off at 1130#,0
Can i call you now,0
"If not, let me know. I will have to drive in and fix it.",0
Not sure. Didn't know they did laptops.,0
"I will def get it to u by tomorrow, don't worry",0
Tonight is hoagie throw back are you interested?,0
Have a happy and safe 4th.,0
Ah ok,0
"We'll see u at noon at cantina in evergreen park, il",0
Lol,0
Please let me know if u get this message,0
"10 for the paper, 15 annotated bibs.",0
Is mom with u,0
"I need to be heading home at 10 or 1030, for tomorrow. should we reschedule? ",0
"And I of you. I meant to call yesterday, but i never got around to it. Sorry.",0
Tomatoe sauce?,0
U got any plans for tonight?,0
"Thanks for the offer, but remember my bro works for Holiday Inn, so we're all good ;)",0
He is up now. grandma may take naps today to make up for last night.,0
Yes,0
Gotta link up this weekend,0
"Hey cindy, on my way running a little late",0
Alexandria Smith commented on your status:,0
g like u said u would. Bottom line is that i'm not risking my marriage anymore to give u a chance to damage my kids. How dare you not give them a bath f,0
Let me know.,0
Emailed ya,0
What r u doing I just woke up I got a head ache boo,0
Don't make me cry,0
How are you guys doing?  I'm sure he is in surgery by now.  Any word?,0
Lol well just don't drink any when you bring me back a case! :) lol,0
anything free (software ain't like powder),0
I am trying to find out. My daughter is working.,0
"yes. mike, jack and jill harper, bob, others i dont know",0
Got it  thank u so much.  Love u,0
ya it is,0
"U can meet us up there later, I'll let u know when we head out ",0
"Not in a good place, but optimistic.",0
Figured that was you.hopefully they'll start.sheesh,0
Can u help me recall everything that I help you with so I can make this list for Mel,0
Dehydration,0
No I would only make incidents events,0
Smile think postive and believe in something greater called christ. You cant change the plan.it is made?,0
Thank you for your time yesterday need to talk to your elovly wife,0
Hey we were thinking of heading to her parents' in about 45 minutes,0
I recieved inheritence winng from f b i wait to talk to you f b i wtagl,0
"yeah LSD is no good, one bad trip can mess you up for life",0
I'll pick it up tomorrow.,0
Sounds familiar.,0
I am out of town this weekend actually lol,0
Mark was wondering if he  were able to come to the shin dig on Sat?,0
(1/2)mindy and James have been begging me to stay with you. Would you have time for them this weekend? I am still really nervous about them being around grandma but,0
K,0
Damn thatsbig!,0
Yes,0
fuck that sux. good ones die young,0
U have a ton?,0
Aww yeah! ,0
And we would take u to your house the 12th probably and then pick u up again on the 17th or 18th,0
I'm on the way back to campus now,0
"Yeah, my phone died earlier",0
Molly Henderson commented on your status:,0
Can you give Jessica a call. It's about your cards,0
"No, she just might not be there. She just sent email stating she would try to make it for 6:30 tonight.",0
Alright well im callin cps on.u,0
Started my cycle and having horrible cramps. Making me cry they hurt so bad.,0
"Ok sweet man, what time do you normally get done?",0
Ok,0
Amanda's Tom is in ICU. Cannot figue out where the blood is coming from that keeps coming out his mouth.,0
yeah sucks,0
(2/2) o with his divorce. Jack and i r being very good to each other,0
K,0
Did they still remove the lung?,0
"Bob, got Win7 installled. It's all good. My kid has a portable 500GB HDD so I'll be by Fri morn to copy the files. Thanks for your help!",0
"Hardly, I am down for some food",0
"That's great, glad I could help out and that you are healing well.",0
Yep,0
Yeah so u got ne ganja?,0
Ok,0
"Coo, thanks",0
hey u getting over that patico?,0
Did you remember to bring and leave the knife and donut maker?,0
Happy mothers day and may god cont. To bless u on this wonderful day,0
"Hey, r u on campus?",0
e another week so I wanted to prepare u for that news. I love u and will call when I get there. I am in Atlanta until tomorrow evening and driving home to b wit,0
"Sure. I'm kid-free next week, just gotta get the rental home before I go out for beer!",0
Good to hear things are going so well. Very happy for you. You will do well as long as you remember there is always more to learn.,0
Love you too. Glad it has a special place on your tree.,0
K,0
Thanks ma...,0
On my way,0
bring me a few more bars of those pills,0
Free T-Mobile Msg: We have canceled a line from your account as of 04/03/2012. For account details view the information on my.t-mobile.com.,0
Otherwise he might have left it at cindy,0
Let's go! :),0
Oh ok kewl,0
"Oh it is delicious, just wait, it will grow on you!! :)",0
When r we meeting at her house?,0
yeah this girl might wanna roll on some XTC,0
"Sure, that's fine.",0
After 9pm,0
Awwwwww yeah!! :D,0
Depends when I am done here,0
I would think not. Thought you were stopping by on Tuesday to fix the database. Did you try safari?,0
"Sure, what u guys doing?",0
Hey do you have a Droid razor cell phone,0
box so sorry for that,0
Taken care of.  She will let Mandy and the rest know.,0
And if u want to come camping also then fri night thru sun morning,0
Outgoing,0
Sure ,0
Mandy was diagnosed with sleep apneia. She has a cpack she gas ri sleep with.,0
Luv u 2 seyy w all my soul we just got back n now were puttn up tha tree igot them each an xtra gift2 putunderit4 now we miss our mom loveu,0
Not bad. Whats up,0
Yeah,0
Do you know what's required for that admin job at school? Was going to apply this week. You smoking a doobie?,0
Good to hear.,0
"She is at home, but not doing well. Hey, d u get time for lunch. Enough we could do lunch together if mom can get someone to stay with her one day",0
"Yes, I should have saw that years ago when I was married and Jacob was single and looking. I think you guys would have fell in love.",0
Sat Sep 24th,0
Tonight after 8pm,0
Can I keep your laptop and work on the issue?,0
Are you home today,0
When is he havng anther one,0
"I know of him but never met him. I see posts once in a while on Smith's page, but that is about it. Wow, small world. When do you come in town?",0
You too babe.,0
U comin to chic Fil a?,0
So sorry just seen your message u sent me about marshas mom.please tell her were so sorry to hear about her.loss.luv u guys.,0
Just keep my name out ur my and my fruiends bye,0
I have to c moms lawyer at 1100 am tomorrow. Want to plan for lunch afterwards. Probably 1230 or 1300?,0
It has to do with paying you or something of equal importance ,0
Is an 8.4MB file too large?  It shows sending request to gateway.server.com,0
What's up,0
Yeah,0
"I work days, can't meet in the AM",0
What time should we meet up for data entry?,0
K. Just saw emails. Was calling in regards.,0
Just left,0
Goin fast lol,0
Ok thanks.,0
Nope,0
"Hope u guys made it home okay. Had fun hanging out, hope u had a good bday",0
Incoming,0
Lmfao thanks needed that laugh,0
Do you have lab key 410?,0
Me too running late,0
(RE:)Hey wat thme do u git off b,0
Jill H. Farmer commented on your status:,0
"Network is fine, only wireless has issues. Weird",0
Me too ;),0
Outgoing,0
"And? Does that mean i should not know her? Silly girl, small world.",0
I need to know ur plans,0
Nice lol,0
"We'll see, i just got back in town n my dog just got major surgery, so i gota go help my mom tend to him a bit",0
"Cool thank, did u try going to my email ands login I all ways have problems with that site not opening gave to mess with security settings",0
"I am on the store, getting toilet paper. No reception. What's up?",0
The kids were awake until 12:30 am.,0
No just sitting in my room crying actually.  But thank u.,0
Paul Crabtree accepted your friend request.,0
Kewl,0
Nope. Someone at work should know him!,0
"u got some percs for me, maybe a whole bar",0
Ok kewl,0
K,0
Creepy,0
Ok.,0
Did the garbage can get most of it?,0
"U at the office, I'm here ",0
How is mindy this morning after bumping her head last night? Any goose egg?,0
Im on my way home boo,0
I gotta peepee :-[,0
Just give mom my love and tell her i hope she feels better soon. Love her so much and you too.,0
Ok can u make sure u send ur stuff to joe so he can integrated everything?,0
"You, always have been!",0
?,0
Yea,0
Yesterday.,0
"My mom is in recovery now, haven't seen her yet.  Dr said all went well~i will keep you posted~thanks for your prayers!",0
Cool beans,0
Happy Easter,0
Lol nice,0
Ic. Hope he gets better,0
Long time no hear. Is everything ok with you?,0
Get a chance call me,0
snort some lines and choo choo,0
It says no remote users are connected,0
Fantastic!!!,0
Yep,0
Currently in the middle of the procedure. Three hours to complete.,0
U too. I may have to stay until Monday now so maybe we can spend more time together instead of only lunch.  But lunch on Thursday for sure!,0
We just got brought back to see the doctor.,0
Nope. She said the way you taped.it kept the skin from pulling open. She put a bandaid on it. No tetanus,0
Should be were all the other games are,0
Joke,0
Late,0
Ok,0
"Yes because we want to go to visit friend in PA on the 12th, we want to surprise the dr. who is a friend of mine",0
Rebout computor cant get in old program,0
Ok.,0
Thank you. Maybe we can talk sat or sun abt the db class,0
There are tabs above the icons,0
Sweet! Can I party with you huts this year?,0
Mom wants to know if you could take her to the grocery store today. Needs a few items. Nothing big.,0
"No, straight home. mindy lost her tooth.",0
Try to contact you for a wk.if your out of town you could at least let me no.,0
"Coo, my dad's wondering if u could stop by and set up his browser lol",0
Oh well,0
Yup on 30,0
No sloppy seconds.,0
U will still have a good time lol,0
How's the foot?,0
Outstanding,0
I have a meeting tonight again. Will you be dropping the kids off and leaving or will adam be there until i get home? Need to know so i don't piss anyone off. Including grandma,0
Love U2,0
"Hi cindy, running late had to meet for a group project this is Jill by the way.",0
Thank you. You too.,0
K kewl,0
K,0
cu in 20,0
My head is killing me.,0
What time,0
U guys out there?,0
don't forget package at 10. Just wanted to let you know. some green herbs need a home,0
"Lol, damn! Wonder if they got any good neuro stuff",0
.5 hours,0
Nice,0
Ok we havng a fire tnght,0
Ok we will text when we leave,0
?,0
Let's make it 5:30 to be safe,0
K not tonight tho,0
Ok ill put my shoes on.,0
Just lmk if so so I can plan how much food,0
That's fine we'll head downtown in an hour to scope it out and give you a call,0
Now?,0
El taco bueno?,0
"Hey missy. Should we bring anything tonight? (food, pop, bible, lightsaber)?",0
k,0
Ok,0
Ok cool,0
Just so u know... ,0
 We're all pretty concerned. I'll keep you posted.,0
Yes these are similar to what I heard. Thanks and if u get a tighter list please forward to me.,0
"Dunno about tonight, but text me later",0
either so FUCK OFF!!!!!!!!!!!!!!,0
Know any good fishing spots?,0
"This traffic blows, taking twice as long as it should have",0
"No, ambers Appt is earlier than I thought",0
Ok. Thx anyway,0
Yeah,0
Thanks,0
He is going to conduct a phone interview with me monday at 3pm.,0
Tomy Trump on your wall:,0
ok.,0
Sent you an email.,0
Kewl,0
this nose candy gets me pretty amped,0
Sounds good,0
Good. You coming over tonight?,0
No news on helga other than stage 4 stomach cancer.,0
;),0
No problem. I should be in by 8:30.,0
I'm such a pothead,0
K np thx,0
Must be something on their end,0
Ok,0
"In a minute, picking up coffee",0
I tried connecting on both my Mac and Win 7 computers. They both timed out and wouldn't connect.,0
I got into the garage. I will be taking off in a minute,0
Sure thing,0
Might be tuff to buy on sunday,0
Oh ok we seen the pics.,0
No custom sizes no,0
myname@email.com,0
"Thanks, u too!",0
Green,0
"Please let me know when you would like dinner to be ready, no rush.",0
"No, grandma is not feeling well so probably something lite.",0
How is mom doing today? Tom and you doing as well as can be expected under the circumstances?,0
I found email mentioning him but can't find his email lol,0
No why,0
"We have father's day with my dad sorry, and am in training tue-thur evenings lol",0
Were you waning to stop anywhere in the way home??? Like south side or whatever???,0
"Nah. Anytime you see a Harper and it isn't me, my dad or my wife there is no relation.",0
But we will be at brothers for a few more minutes,0
We had a nice time.  It was nice to get away and spend some time together.  We had nicer weather too~one of our hotels had an outdoor jacuzzi.,0
Relaxing right now,0
"Still at dinner, in a good conversation. Didn't forget about you.",0
Call me when you can.,0
I'm still in the hospital with mom.  Won't be home until late. I am home tomorrow morning.  We can talk about the class then.,0
"Lol I meant when you got there, is that meaning you want some beer? Lol, btw how much did it cost?",0
Lol,0
i am sick. I cant really talk.,0
bonfire still going on,0
I had to unlock it from the mobile slider to get Sara out. She pulled away and left me holding the garage door up. I called off.,0
Ok.,0
Awesome! That all sounds great man!,0
Keeping busy to keep my mind off of it.,0
ike to bring in?      Susie,0
Ok I'm sorry,0
Yeah like asap like yesterday. Ill get u ora gel when I go out. Itll help. Uughh I jus want to sleep! ,0
Ok but got $100,0
"At home now, whats up?",0
Sorry my bad,0
She said no....,0
Yeah that'd be good. No sis around,0
"Hey bob, if your not busy come join me up at the lounge, there's a cigar event going on today",0
Aight,0
In a few,0
Did mom get her cookies,0
It is raining pretty good out herr,0
Do you need the form?,0
Coo,0
"About to go for a run, a little work and no plans for later, hbu?",0
lets smoke a bowl,0
Can I plug it in now?,0
Do they have some names picked out?,0
Incoming,0
We are here.,0
K,0
With Michael in wheaton until Sara gets off of work and Michael sets up.,0
"no prob. Nobody here has a suit on!! Leaving now, be there in a few. 6 of us.",0
Bonfire tonight at 9pm (again),0
kind of like my valium addiction. I pop too many pilz for pain. Follow it up with some chiva for good measure,0
I h8 bein without u 2 sexy but ya ill tell nick n i cant wait till then boo i need u n love u so much,0
Are they looking in local network or web based?,0
Tom is heading to Chicago,0
I'll bet not,0
"About this weekend. I have my directed project to finish, a paper to write, and two labs to finish and a wake tonight for Papa.",0
Is this recreational or u selling it too?,0
I will send her up something tomorrow. Maybe it will lift her spirits and give her a smile. Hope it helps in some small way.,0
Betsy said that's so sweet and thanks,0
"About what time, I have work and class tomorrow?",0
I picked up moms rx while I was at store,0
I eat pizza now,0
Tom had it when I checked at 6:20 then he returned it to the box when I checked again at 6:30,0
(RE:)Lmao u crazy ass but 4real i wouldnt want it no other way,0
Lets talk tomorrow.,0
"cindy, I received the following message after clicking on the disk drive to install the lion OS.   An error occurred while preparing the installation. T",0
(RE:)Pretty good went by slow tho cuz ive been thinkin bout u boo i cant wait 2  c u 4real,0
"No problem. Take your time, I don't have a curfew anymore :) lol. I am up and ready, going to run to bank so just text me when u are on ur way  ",0
"(1/2) That would b great, but if u need to work, i understand. In Florida now thinking bout u and gail so much. Miss u very much. Tell mom hi and miss her. How i",0
(1/2) ITERS and ECERS they are both environmental rating scales for day care centers.  ITERS is for infant and Toddler classrooms.  The other is for preschool c,0
Thank you. deal,0
Ahhh lol well I'll leave you that....,0
"Nice! You can bring it without if need be, so long as it has a decent battery life and is charged",0
Ok,0
"Sounds good, give me a call sometime beforehand and we can figure out details :)",0
Ok,0
I'm here,0
that aint even right,0
Sweeeet,0
We are here. Stop on by. We are at the bar.,0
Is prof Susie ok? Her mom doing ok? MJ in a few?,0
Ppl keep shown up,0
What time?,0
"Ok sweet, I should be done with my rehearsal by then!",0
Ok. Thanks.,0
Happy Easter,0
I need lucy s cell #. Can you send it?,0
"Traffic is gridlocked, we aren't going to beat you there. Going to exit highway asap.",0
Ahh ic,0
Rachel Lee Dobbs commented on your status:,0
Did you really want the kids Sunday night?,0
This is me,0
"Heads up, listed you as a reference on my apartment application, so they may be calling you soon",0
Ok thank you....it should post soon after the 17th,0
Incoming,0
Incoming,0
Well thats good. Mines going by slow  Im so sleepy (tranqs don't help). I miss u so much.,0
Whats wrong with it?,0
Sure,0
530,0
It shows them PDF writer as a printer so does it select the options from there instead of the plotter? If so it would not recognize my custom setting for t,0
No that doesn't mean anything,0
You too man! :) ,0
Come on out,0
lol k,0
Im not home. Call u later,0
person@email.com,0
Yeah fo sure,0
"I know but this guy aint a rat, he just needs his fix of chiva",0
Probably about to head that way,0
I had it hooked up for over an hour the other day.,0
Going.,0
Perfect!!! :),0
Ok,0
yeah those bath salts make ppl do crazy shit,0
"Either way works for me. If I don't see them tonight, then we plan on tomorrow.",0
Tim Smith fixed it for you for$0.00 and no trial ware version. I can drop it off with Jake in the mornings for banner and access query. I am going to hire him on a trial basis.,0
Ok kewl,0
Click on proofing tab,0
"Yes, but it doesn't work lol",0
When ru heading that way?,0
Ok mght nt ether,0
"Dunno, prob ambers family has sumthin not sure",0
Works now,0
Congrats. I am so happy for you and him.,0
cindy?,0
Nah we're by st. john,0
Just ask a question.i wont offend you again.you will learn to call some one. One day?,0
Lemme un,0
"Severe weather coming in, be careful coming home.",0
cindy I tried to talk to you today but earlier you were with jim and later I missed you. You told me some strong things the other day about lying and y,0
My bro-in-law is out of surgey. Biopsy came back as benign.,0
Could end up working all night,0
Yeah,0
Rain @ 40 exit.,0
Amber has Appt at 5,0
Happy Thanksgiving to u and ur family.,0
"Yep, i was really ready to drop out of the program as a result",0
Render in your gates judgements that are true and make for peace.~ zechariah8:16 this why i will be and angle over you.dad,0
Horrible fight. Finally got there at 7 pm.,0
Ok sounds good,0
Gram mentioned pizza hit?,0
Hope he's ok now.  How are you holding up?,0
Incoming,0
I don't mind as long as you clean it all up when you are done.,0
Yeah?,0
U just blow it up in adobe,0
"yeah, people be eating their own poop and eating people's faces off and stuff",0
Leaving now,0
Hey do u guys still have the video?,0
Just sent to u as outlook contact,0
"Lol very carefully, or u take it off the timeline and space everything yourself",0
I am at work,0
Almost there,0
Leave at 9 30,0
U can hit amber up tho and see if she is doing a bonfire or anything,0
Din't think so.,0
Gateway lost its config,0
That job is not in posting yet on website.,0
(RE:)Hey sexy sorry i  just got ur tx im cleanin up about 2 leave work hows ur day goin,0
ill throw in some dro,0
Maybe food and hanging out at my place,0
K see ya then,0
Ok,0
Yup,0
I will hit u up when I am in the area for work. I am up during the day tho usually,0
No. I have the AT&T Inspire. I had a Razor before there we a lot of smart phones. Love it.,0
Yeah! :),0
"Lol now you tell me, I just got here....",0
no,0
Lol Ok cool,0
Nothing?,0
"Bob I know ur a busy guy but I start school this wk, wondering when u might be done hooking up my laptop",0
"When you get home, take something out for dinner and unpack the car. Make sure nothing is broken. Start dinner and set the table. You will be home way before us.",0
Thanks <Susie Smith>,0
Routing 0123456789,0
"Got rid of a bunch of malware, your antivirus doesn't expire till next year so left it installed",0
Lindsay Jelks commented on your status:,0
6:30 tonight who's in who's out ,0
Ok but for $100,0
Is it 2 bed?,0
"Not a big deal, but call before you come over",0
On September 9th the bears play the colts on opening day. I am getting a list if people who may want to watch the game at my place and smoke weed. Are yo,0
Severe weather warning until midnight.,0
Napping,0
I can ask her. Do you have a price in mind?,0
Yes.,0
Okay I'm get in a showe my head is pounding,0
"Sounds good, 6:30",0
I think so,0
Sure,0
Her mom is not doing well at all. let's light up in a few,0
Nope,0
Incoming,0
I will make time. Mexican dinner maybe?,0
Was not positive it was her. I will now.,0
Ok no problem,0
"Btw,tooth fairy messed up last night.",0
I need to ask you about a javascript question later thru email. Look out for it,0
"Inquiry on maytag washer and dryer. Age, working condition, gas or electronic dryer?",0
I smoke marijuana,0
are you coming?,0
In virginia yes,0
Thank you. I will try to come. When do you head back to orlando?,0
I will not be in class tonight. I know professor  will not as well. Just to let you know.,0
Yes tried 3 browsers lol,0
We are at the mouse game,0
He finally went in for surgery at 2 pm. Nurse comes out on the hour for updates. We know he is,0
Can u pic me up from train station tonight?,0
I would have taken u to work,0
I have to run to work for a little while. I have to reboot a server.,0
I have not. I'm in chicago at my cousins.,0
yes heroin is horrible,0
"I miss u too  Cant wait to see u. we'll pop a few pilz together, I got some vikes and xanax. I love you! Xoxo",0
Early July,0
I haven't done anything all day,0
But I told her it wouldn't be a big deal had you not already booked and that I think it will be good for him to get away since the 8th is a year since his mom p,0
Whats wrong with timmy?,0
U hungry?,0
"Painters are done, we just need to remove furniture for Monday night, probably another hour or so",0
Ok kewl,0
Ok sorry busy,0
Thanks for the birthday card! I hope the three of us can get together and have a good time soon,0
"I have some work to get caught up on today, next week for sure. When do u go back to school?",0
Yeag that will wrk what tme u wnt me over tnght,0
Nice! Did you remember the beer?,0
Bill Lynch wanted me to let you know that his mom passed away tonight. Please let our classmates know. Funeral will be at funeral homes. No other arrangements have been made as of yet.,0
"yeah she did, plenty of dope to smoke",0
Do want me to brng sme beer and coke,0
Im bout 2 get off tha tollroad babygurl c u n a min ,0
Lmfao  riiiight okay ,0
Ru sure?,0
Going to get flowers and then to cemetary.,0
I dont mean to bug u but I feel like shit. Ive been throwin up all day. Can I start headin out ur way? It takes me like 45min to get there ,0
When you get up can you let me know...I wanna ask you for a favor,0
"Hello cindy, running late I've been stopped by a train",0
"You're welcome, did it require stitches?",0
Care if me and boyfriend come over ???,0
"Ah crap I forgot we do, Jenny hasn't watched it yet though.",0
Want to wood today,0
Where is timmy's Batman Wii game?,0
Yes,0
Ok,0
Leaving now. Going to georges on chicago.,0
Lots of rice,0
"Hi cindy, I was wondering if u know what school charges for Microsoft office? Or if I could convince you to have ur daughter pick up a copy from school bc th",0
"My moms surgery is cancelled tomorrow, the Dr had an emergency~she has to call tomorrow to try to reschedule.  lucy",0
"K I should be done with tutoring around 8:30, hit me up around then or vice versa",0
Me neither.,0
Sweet!,0
Don't know. Why,0
K,0
Our anniversary ,0
Happy Easter,0
No hurry.,0
Ok.,0
yeah he can handle his antifreeze,0
I'll be about 30 minutes late.  Could you open the door and tell people to wait?0,0
Any chance u'd be willing to bring it over here?,0
Awesome!,0
Change password asap,0
"At some time over the last month or so, did I modify your household duties and forget that i did?",0
I was going to text you today and find out what the plan for saturday was,0
Feel like going to flosmore station tonight?,0
Tuesday would be good. What time do u think on Tuesday?,0
FYI traffic sucks,0
I am a prisoner.,0
"Hi cindy its Susie, the key is not in the lockbox",0
"Yeah, it is hallucinogen",0
Drive safely.,0
the lounge event tonight,0
Happy Easter :),0
"Running late, order without me",0
Happy Easter sir,0
Me too,0
K,0
"No, I got txt from someone saying they changed number but my phone replies all to group Ezra",0
K lmk when u head that way,0
K.,0
K,0
I called her.  Just needed to talk.  Well better find something to do or take my lunch.  No harm between us ;),0
I will have chili and crackers with cheeses and of course reefer. If anyone else wants to bring in soda or anything that's cool. See you tomorrow around 11 am,0
I got the flyer. And i called off because my garage door broke. Could not get my car out.,0
Oh wow ur downtown,0
"Great, thanks",0
Wireless barely works,0
What time do you get off today?,0
What time you thinkin for.tonight?,0
"Lol ok, so if you and amber both want to come out to.three brothers, then Mike said he and his gf would probably come out too, but only if you both come so andrea h",0
I will be here. Do not bring your laptop just yet. John Doe owes me some documentation first.,0
We are doing a zombie hayride in chicago tonight. Paint balls 75 per.person.,0
I am free all day tomorrow,0
I will :-/ this sucks and my phone is almost half way dead already :-/,0
np,0
Nana Bulben commented on your status:,0
Now what?,0
Very small. She speaks very highly of you. You should be proud everyone that knows you talks of how wonderful you are.,0
yeah they like rollin on E,0
Rachel Tanner commented on your status:,0
"Yes, i am up on bldg G",0
Timmy called. They are on their way home. Staying in Kentucky. Jenny says they will be at Friday on Sunday at 6pm. Said to tell you and daddy Michael that he loves you both and see you day after tomorrow.,0
In the team folder?,0
Ok thanks it is an eletriic item so ill be sure to be in the right line are you guys going out,0
"Well u get off work at 3am and have to go back at 7, so whenever works for you. When do u normally wake up?",0
Thursday it is. Looking forward to seeing you.,0
No not really. I tossed them out recently.,0
its gonna take more than some pot to get me to come over,0
K lol,0
Is there a way to make it look like a good old fashioned kernel panic? My computer used to do that all the time and it was pretty scary.,0
K let me knw bud,0
Can you come to cafeteria.,0
U guys potentially want to do something?,0
k I will bring some oxy bars,0
Your dog pucked on my couch.,0
K,0
Uncle Toms mom passed away today. Funeral arrangements on his page.,0
Its Sara where are you?!,0
Excellent,0
Oh shit,0
I thought i did. I will check and see.,0
yep. Last couple months when you've asked.,0
You have been poked on Facebook by Susie Lynch.,0
On foot almost there,0
"Cool, I think they will be impressed",0
Donated,0
Your time card is due also.,0
If u come out this way sure,0
"Coo, what time u going to be up there? Is amber joining us?",0
Ok,0
"Scratch that, you should have it before 8:15am, will that be OK?",0
What's the plan for tonight?,0
Can I just do something that I can can do from home tomorrow?,0
No heading home soon. Gettimg my cap and gown right now,0
Love you too.,0
Yes amber and I r going and mike is going with us,0
Timmy is tearing things up looking for it.,0
On my way.,0
We are coming out that way. Could we grill?,0
.5x11 so I am going to see if I can't change the default printer size to the 82x30,0
I see,0
We need to scrap!,0
Yes I have him,0
Is my external drive in the computer?,0
Can I eat the meatballs,0
"(1/2) yes. just til jacks divorce is final. his lawyer recommended. no, i did not cheat on jack.  in case u were wondering why Bob and my fb has anything to d",0
ork to run?,0
Don't worry. I will see what else i can figure out on my own. Take care of the water issues.,0
Can i drop off some food by you now?,0
730 and 830 tonight who's in who's out ,0
Rachel had blocked me now also.,0
R u in class?,0
Need it tomorrow,0
Hey sir I have a question on software I am doing that timeline for john but I am trying name the identity the guys name for a event and the next event ha,0
It's fine now.,0
Yeah the only cell # I have is no longer valid,0
We are at the red barn elephant ears place,0
"I am, i might need to bring my computer by for later, is that cool?",0
"no really, plus mike is bringing some dro",0
(RE:)Cool i just got off let me c wats good give me a min nimma holla,0
I will send it via email. We went to the cemetary and we put flowers out for you on your dad's grave site. Love you. Get better soon.,0
Garage door opener.,0
Status on mom? How is she doing today.,0
Ok. I got the forms onto the site but it's not sending me the emails once they are filled and submitted. Can't figure out where I'm going wrong.  HELP ( ,0
They just gave me another court date babe,0
Shooting to be there,0
mr. smith took my vikes in study hall!,0
Any time.,0
I sent you an email you need to read.,0
Latter when have time call me.are you teaching? NEed a student? WOw he can see and pee.,0
"Spoke with att, they need you to call them at 1-800-555-1212. My social is 123-45-6789. They need numbers and such from your phone ti send you a warranty replacement. Are you going to the egg hunt? 10 am it starts.",0
No I am at work,0
Thanks!,0
I won't tell. Lol. I am gonna hop on in a minute and check it out,0
"I have my wish done more profetional and noterized 2 copys.i can drive to you latter if convient to you. THank you,i can sleep now.",0
"Yes. There are three sizes. Small, medium and large. I think yours was xtra large. If a chez cake is involved.",0
Did one of you say you would clean the mess in the kitchen?,0
Although that may not convince her,0
Are you guys free on the 21st?,0
I know that how much?,0
K,0
Sending to your Facebook as a PM.,0
At home,0
"Yeah, i'll be in the city. U?",0
"I will call u if we relocate, so keep ur phone handy lol",0
Never mind he got it.,0
Good luck with garage sale. You could sell me?,0
Yes i will put them in the garage.,0
We still on for tomorrow?,0
Bummer. She was so looking forward to this.,0
that wall so we're good,0
yan. I think Michelle.,0
"Hey dude! Sorry, I didn't hear the phone go off, but hey what about next wed? ",0
Did u end up hitten up the boat?,0
"I know, plus jim is the one who would have to approve it. By chance do you know how to restore server to one of the backups fury did like 2 weeks ago?",0
Left u a vm. Call me if u need to after you listen to it.,0
Install software,0
How is your mom doing this morning? I am praying for her.,0
Can't ,0
Anytime is good with me. If you guys come by early enough I can take you to gettysburg or hershey if u want. Just let me know whatever works for u guys ,0
hey devon I need some nose candy,0
"Yes, thank you for that bit of news.",0
Invalid website ,0
Hey! What time is everything going down?,0
No prob,0
We are gonna stop here in a minute...just got on 94,0
our athoriety if you have time next week and go help me with anything specific I did so I can work on it I'd really appreciate it.,0
